Title,Specs,Post Date,Options,Price,Installment
Hyundai Verna 2008,"['Hyundai', 'Verna', 'Silver', '250,000 Km', 'Zagazig']",2023-06-16,"155,000 EGP",Yes
Hyundai Verna 2011,"['Hyundai', 'Verna', 'White', '250,000 Km', 'Zagazig']",2023-06-16,"175,000 EGP",Yes
Hyundai Verna 2013,"['Hyundai', 'Verna', 'Light grey', '190,000 Km', 'Cairo']",2023-06-16,"235,000 EGP",No
Hyundai Verna 2008,"['Hyundai', 'Verna', 'Black', '8,000 Km', 'Alexandria']",2023-06-16,"190,000 EGP",No
Hyundai Elantra MD 2015,"['Hyundai', 'Elantra MD', 'Mocha', '172,000 Km', 'Pyramids Gardens']",2023-06-16,"500,000 EGP",No
Hyundai Accent RB 2012,"['Hyundai', 'Accent RB', 'Dark red', '85,000 Km', 'Heliopolis']",2023-06-16,"455,000 EGP",No
Hyundai Accent RB 2014,"['Hyundai', 'Accent RB', 'Light grey', '77,000 Km', 'Heliopolis']",2023-06-16,"465,000 EGP",Yes
Hyundai Elantra HD 2011,"['Hyundai', 'Elantra HD', 'Dark red', '235,000 Km', '10th of Ramadan']",2023-06-16,"350,000 EGP",No
Hyundai Accent RB 2014,"['Hyundai', 'Accent RB', 'Silver', '77,000 Km', 'Heliopolis']",2023-06-16,"460,000 EGP",Yes
Hyundai Tucson 2022,"['Hyundai', 'Tucson', 'Bronze', 'A/T / Blaze', '29,000 Km', 'Nasr city']",2023-06-16,"1,520,000 EGP",Yes
Hyundai Verna 2011,"['Hyundai', 'Verna', 'Gray', '136,000 Km', 'Nasr city']",2023-06-16,"285,000 EGP",No
Hyundai Accent RB 2013,"['Hyundai', 'Accent RB', 'Blue', '200,000 Km', 'Giza']",2023-06-16,"450,000 EGP",No
Hyundai Verna 2016,"['Hyundai', 'Verna', 'White', '174,000 Km', 'Giza']",2023-06-16,"250,000 EGP",No
Hyundai Getz 2010,"['Hyundai', 'Getz', 'Black', '200,000 Km', 'Alexandria']",2023-06-16,"260,000 EGP",No
Hyundai IX 35 2014,"['Hyundai', 'IX 35', 'Silver', '150,000 Km', '6 October']",2023-06-16,"635,000 EGP",No
Hyundai Excel 1997,"['Hyundai', 'Excel', 'Red', '200,000 Km', 'Nasr city']",2023-06-16,"100,000 EGP",No
Hyundai Tucson Turbo GDI 2021,"['Hyundai', 'Tucson Turbo GDI', 'Black', 'Automatic / Turbo / Gdi 7DST/ MID LINE', '40,000 Km', '6 October']",2023-06-16,"1,385,000 EGP",No
Hyundai Tucson 2022,"['Hyundai', 'Tucson', 'Dark green', '46,000 Km', 'Sheikh Zayed City']",2023-06-16,"1,420,000 EGP",Yes
Hyundai Elantra AD 2020,"['Hyundai', 'Elantra AD', 'Gray', 'Automatic / GL / SR / AD', '50,000 Km', 'Amreya']",2023-06-16,"830,000 EGP",No
Hyundai Elantra 2005,"['Hyundai', 'Elantra', 'Black', '170,000 Km', 'Cairo']",2023-06-16,"300,000 EGP",No
Hyundai Accent RB 2011,"['Hyundai', 'Accent RB', 'Light grey', '- Km', 'Cairo']",2023-06-16,"329,000 EGP",No
Hyundai Elantra 1996,"['Hyundai', 'Elantra', 'Cyan', '250,000 Km', 'Badr City']",2023-06-16,"80,000 EGP",No
Hyundai Avante 2004,"['Hyundai', 'Avante', 'Silver', '190,000 Km', 'Tanta']",2023-06-16,"320,000 EGP",No
Hyundai Elantra HD 2020,"['Hyundai', 'Elantra HD', 'Bronze', 'Automatic / GL / TINTED GLASS', '107,000 Km', 'Mokattam']",2023-06-16,"520,000 EGP",No
Hyundai Tucson GDI 2017,"['Hyundai', 'Tucson GDI', 'Light grey', '61,000 Km', 'Tagamo3 - New Cairo']",2023-06-16,"1,020,000 EGP",No
Hyundai IX 35 2016,"['Hyundai', 'IX 35', 'Red', 'GLS A/T', '95,000 Km', 'Minya Al Qamh']",2023-06-16,"800,000 EGP",No
Hyundai Tucson 2019,"['Hyundai', 'Tucson', 'Mocha', '46,660 Km', 'Faiyum']",2023-06-16,"1,399,999 EGP",No
Hyundai Accent 1995,"['Hyundai', 'Accent', 'Dark green', '280,000 Km', 'Cairo']",2023-06-16,"100,000 EGP",No
